Date,Item/Description,Amount,Mode,Remarks,Monthss,Paid/Unpaid,Paid By,Payment Date,Category,ID,Adv Check,PnL Category,PnL Type,Check,,,,,,,,Check
07/03/2026,Vegetables,70,Cash,mint,03-2026,Paid,Naseem,07/03/20256,Inventory,6527,,COGS - Veg,Expense,0,,,,,,,,
07/03/2026,Maintenance,2176,Bank,Biryani Bowl,03-2026,Paid,Bank,07/03/2026,Maintance,6528,,OpEx - Maintenance,Expense,0,,,,,,,,
07/03/2026,Dairy,72,Cash,milk,03-2026,Paid,Naseem,07/03/2026,Inventory,6529,,COGS - Dairy,Expense,0,,,,,,,,
07/03/2026,Tea,50,Cash,tea,03-2026,Paid,Naseem,07/03/2026,Staff Expenses,6530,,OpEx - Labor,Expense,0,,,,,,,,
07/03/2026,Stationary,35,Cash,pen,03-2026,Paid,Naseem,07/03/2026,Inventory,6531,,COGS - Inventory,Expense,0,,,,,,,,
07/03/2026,Sales,4600,Cash,petpooja,03-2026,,,,Sales,6532,,Revenue,Income,0,,,,,,,,
07/03/2026,Sales,25192,Wallet,petpooja,03-2026,,,,Sales,6533,,Revenue,Income,0,,,,,,,,
07/03/2026,Sales,1454,Online Sale,petpooja,03-2026,,,,Sales,6534,,Revenue,Income,0,,,,,,,,
07/03/2026,Sales,720,UPI,petpooja,03-2026,,,,Sales,6535,,Revenue,Income,0,,,,,,,,
07/03/2026,Maintenance,300,Cash,porter,03-2026,Paid,Naseem,07/03/2026,Maintance,6536,,OpEx - Maintenance,Expense,0,,,,,,,,
07/03/2026,tea,100,Cash,tea,03-2026,Paid,Naseem,07/03/2026,Staff Expenses,6537,,OpEx - Labor,Expense,0,,,,,,,,
07/03/2026,Kinners,30,Cash,kinnar,03-2026,Paid,Naseem,07/03/2026,Maintance,6538,,OpEx - Misc,Expense,0,,,,,,,,
08/03/2026,Dairy,1248,Bank,Ashok,03-2026,Unpaid,,,Inventory,6539,,COGS - Dairy,Expense,0,,,,,,,,
08/03/2026,Vegetables,520,Cash,onion,03-2026,Paid,Naseem,08/03/2026,Inventory,6540,,COGS - Veg,Expense,0,,,,,,,,
